ID,VIN,DealerNotes,EngineSize,Horsepower,Country,RandomCode,Mileage,Price
1,VIN00001,Good condition,1.6,120,USA,X001,8500,16500
2,VIN00002,,2,160,USA,X002,15000,21000
3,VIN00003,,2.4,190,USA,X003,18000,24000
4,VIN00004,Minor scratches,3,250,USA,X004,22000,32000
5,VIN00005,,1.5,110,USA,X005,7000,15000
6,VIN00006,,2.2,170,Canada,X006,20000,23000
7,VIN00007,,2.5,200,USA,X007,25000,26000
8,VIN00008,Excellent,3.5,300,USA,X008,30000,40000
9,VIN00009,,1.4,100,Mexico,X009,8000,14000
10,VIN00010,,2,160,USA,X010,17000,21000
11,VIN00011,Good condition,1.8,140,USA,X011,14000,18500
12,VIN00012,,2.4,190,Canada,X012,21000,24500
13,VIN00013,,3.2,270,USA,X013,27000,35000
14,VIN00014,,1.5,110,USA,X014,7000,15000
15,VIN00015,,2.1,165,Mexico,X015,16000,22000
16,VIN00016,Excellent,2.6,210,USA,X016,26000,28000
17,VIN00017,,3,250,USA,X017,29000,33000
18,VIN00018,,1.3,95,Canada,X018,6000,13000
19,VIN00019,,2.2,170,USA,X019,19000,22500
20,VIN00020,Needs detailing,2.8,230,USA,X020,24000,30000
21,VIN00021,,1.7,130,USA,X021,11000,17000
22,VIN00022,,2,160,USA,X022,15500,21000
23,VIN00023,,2.4,190,Canada,X023,20500,24000
24,VIN00024,,3.4,290,USA,X024,31000,39000
25,VIN00025,Good condition,1.6,120,USA,X025,10000,16000
26,VIN00026,,2.3,180,Mexico,X026,19500,23500
27,VIN00027,,2.7,220,USA,X027,23000,29000
28,VIN00028,,3.1,260,USA,X028,28000,34000
29,VIN00029,,1.4,100,Canada,X029,8500,14500
30,VIN00030,Excellent,2.5,200,USA,X030,21000,25500
31,VIN00031,,1.8,140,USA,X031,13000,18000
32,VIN00032,,2,160,USA,X032,16000,21000
33,VIN00033,,2.4,190,Canada,X033,20000,24000
34,VIN00034,,3,250,USA,X034,25000,32000
35,VIN00035,Minor wear,1.6,120,USA,X035,9000,16000
36,VIN00036,,2.2,170,USA,X036,21000,23000
37,VIN00037,,2.5,200,Mexico,X037,26000,26000
38,VIN00038,,3.5,300,USA,X038,32000,40000
39,VIN00039,,1.4,100,USA,X039,8500,14000
40,VIN00040,Excellent,2,160,USA,X040,17500,21000
41,VIN00041,,1.8,140,USA,X041,14000,18500
42,VIN00042,,2.4,190,Canada,X042,21500,24500
43,VIN00043,,3.2,270,USA,X043,27000,35000
44,VIN00044,,1.5,110,Mexico,X044,7000,15000
45,VIN00045,,2.1,165,USA,X045,16500,22000
46,VIN00046,Excellent,2.6,210,USA,X046,26500,28000
47,VIN00047,,3,250,USA,X047,29000,33000
48,VIN00048,,1.3,95,Canada,X048,6500,13000
49,VIN00049,,2.2,170,USA,X049,19500,22500
50,VIN00050,,2.8,230,USA,X050,24500,30000
